MLS,sold_price,zipcode,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21414149,550000.0,85658,0.22,5238.02,2006,4,3.0,2680.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",0,"Ceramic Tile, Wood",37
21424127,549750.0,85719,0.23,3581.08,2008,3,3.0,2297.0,2.0,"Dishwasher, Garbage Disposal, Microwave, Oven",0,Concrete,0
21423017,547500.0,85623,0.28,2628.1,2011,3,3.0,2905.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile, Wood",150
21404009,540000.0,85614,2.08,5077.95,2007,4,3.0,2944.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile",83
21432872,545000.0,85718,1.0,4552.18,1981,4,3.0,2821.0,2.0,"Dishwasher, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",25
21315124,535000.0,85755,0.45,6229.78,2002,3,3.0,3019.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile, Natural Stone",81
21507627,565000.0,85750,0.57,5038.0,1999,4,3.0,2607.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile, Wood",45
21422505,560000.0,85747,1.61,2983.76,2006,5,4.0,4640.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile",0
21510774,546812.0,85755,0.27,5132.56,2002,4,3.0,3263.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile",25
21507953,555000.0,85718,1.1,4362.38,1983,3,3.0,3069.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Mexican Tile",10
21502026,545000.0,85755,0.24,3991.08,2007,4,4.0,3076.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile",53
21505582,520000.0,85745,0.89,4769.37,1995,3,3.0,2261.0,3.0,"Dishwasher, Microwave, Oven",2,"Carpet, Mexican Tile",0
21526202,535000.0,85742,1.04,4763.0,1993,4,4.0,3817.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Mexican Tile",0
21527958,537000.0,85739,0.32,3515.18,2005,2,3.0,2578.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,Ceramic Tile,158
21610310,550000.0,85719,0.48,2445.49,1954,3,3.0,2169.0,0.0,"Dishwasher, Refrigerator, Microwave, Oven",1,Ceramic Tile,0
21607742,560000.0,85718,1.08,3568.2,1961,4,4.0,2743.0,2.0,"Dishwasher, Garbage Disposal, Microwave, Oven",1,"Carpet, Natural Stone",5
21611094,565000.0,85711,0.8,5010.0,1977,5,4.0,4103.0,6.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven",1,"Ceramic Tile, Concrete",0
21616660,535000.0,85749,4.17,5471.22,1986,3,3.0,3228.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,Other,0
21624894,535000.0,85749,1.0,4618.69,1996,4,3.0,3324.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Ceramic Tile, Natural Stone",8
21627717,560000.0,85749,0.59,5947.0,1998,5,4.0,3672.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,Wood,149
21527684,550000.0,85739,0.32,4117.1,2005,3,4.0,2928.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",165
21533331,510000.0,85646,7.0,4235.3,1995,3,3.0,3256.0,2.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Natural Stone, Wood",70
21701604,545000.0,85750,0.44,5073.12,1991,4,3.0,3341.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Concrete, Other",14
21703212,560000.0,85718,0.77,6309.58,1987,4,3.0,3134.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Ceramic Tile, Mexican Tile",5
21204384,552500.0,85750,1.61,3792.96,1985,3,2.0,2348.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile, Natural Stone, Other",0
21126261,555000.0,85737,0.38,5401.73,2006,4,3.0,3420.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Concrete",50
21201685,532000.0,85749,0.83,4780.0,2006,5,5.0,3739.0,3.0,"Dishwasher, Garbage Disposal, Microwave, Oven",2,Concrete,50
21218525,525000.0,85716,0.62,6495.64,1962,4,3.0,3949.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone, Wood",0
21213752,490000.0,85658,0.23,3080.69,2002,3,2.0,2020.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",166
